Razao_Social;UF;REGISTRO_ANS;CNPJ;Modalidade;Trimestre;Ano;Total_Despesas;Media_Trimestral
UNIMED CAMPINAS - COOPERATIVA DE TRABALHO MÉDICO;SP;335690;46124624000111;Cooperativa Médica;3;2025;13093701233.75;96277214.95404412
UNIMED NACIONAL - COOPERATIVA CENTRAL;SP;339679;2812468000106;Cooperativa Médica;1;2025;12469460116.82;97417657.16265625
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL;DF;346659;33719485000127;Autogestão;1;2025;11965066945.62;217546671.73854548
UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.;CE;317144;5868278000107;Cooperativa Médica;3;2025;10995600401.35;71866669.28986928
UNIMED GOIANIA COOPERATIVA DE TRABALHO MÉDICO;GO;382876;2476067000122;Cooperativa Médica;3;2025;10855870109.52;126231047.78511629
UNIMED PORTO ALEGRE - COOPERATIVA MÉDICA LTDA.;RS;352501;87096616000196;Cooperativa Médica;2;2025;10707211000.04;75402894.36647888
SERV  SOCIAL AUTÔNOMO DE ASSIST À SAÚDE DOS SERV PÚBLICOS E MILITARES DE GOIÁS;GO;424188;50565317000143;Autogestão;3;2025;10532689586.2;169882090.10000002
OMINT SERVIÇOS DE SAÚDE S.A.;SP;359661;44673382000190;Medicina de Grupo;3;2025;9900404413.54;150006127.4778788
UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS;PR;304701;75055772000120;Cooperativa Médica;2;2025;9772038491.28;75169526.856
CARE PLUS MEDICINA ASSISTENCIAL LTDA.;SP;379956;2725347000127;Medicina de Grupo;3;2025;9500993663.64;316699788.788
FUNDAÇÃO SAÚDE ITAÚ;MG;312126;73809352000166;Autogestão;3;2025;9492214698.51;115758715.83548781
GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA;RJ;309222;31925548000176;Medicina de Grupo;3;2025;9089399981.45;129848571.16357143
GEAP AUTOGESTÃO EM SAÚDE;DF;323080;3658432000182;Autogestão;1;2025;8950347605.08;135611327.34969696
PORTO SEGURO - SEGURO SAÚDE S/A;SP;582;4540010000170;Seguradora Especializada em Saúde;1;2025;8752772938.93;106741133.40158537
UNIMED CAMPINAS - COOPERATIVA DE TRABALHO MÉDICO;SP;335690;46124624000111;Cooperativa Médica;2;2025;8685499206.13;64817158.25470149
UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO;MG;343889;16513178000176;Cooperativa Médica;1;2025;8596934576.869999;55464094.04432257
UNIMED DO EST. DO RJ FEDERAÇÃO EST. DAS COOPERATIVAS MÉDICAS;RJ;312363;31432792000105;Cooperativa Médica;1;2025;8573024504.06;190511655.6457778
UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO;ES;357391;27578434000120;Cooperativa Médica;3;2025;8274001235.65;70118654.53940678
UNIMED SEGUROS SAÚDE S/A;SP;701;4487255000181;Seguradora Especializada em Saúde;1;2025;7735173143.66;88910036.13402298
SERV  SOCIAL AUTÔNOMO DE ASSIST À SAÚDE DOS SERV PÚBLICOS E MILITARES DE GOIÁS;GO;424188;50565317000143;Autogestão;2;2025;7517613852.22;139215071.3374074
UNIMED GOIANIA COOPERATIVA DE TRABALHO MÉDICO;GO;382876;2476067000122;Cooperativa Médica;2;2025;7499120297.37;90350846.95626506
PREVENT SENIOR PRIVATE OPERADORA DE SAÚDE LTDA;SP;302147;461479000163;Medicina de Grupo;1;2025;7475871076.45;149517421.52899998
UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.;CE;317144;5868278000107;Cooperativa Médica;2;2025;7319045931.29;47836901.51169935
UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO;PR;336858;81710543000102;Cooperativa Médica;3;2025;7028346327.89;108128405.04446155
UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO;PR;336858;81710543000102;Cooperativa Médica;2;2025;6881904253.49;107529753.96078125
UNIMED RECIFE COOPERATIVA DE TRABALHO MÉDICO;PE;344885;11214624000128;Cooperativa Médica;3;2025;6650346031.44;110839100.52399999
SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A;ES;335614;31466949000105;Medicina de Grupo;3;2025;6632034586.38;14543935.49644737
FUNDAÇÃO CESP;SP;315478;62465117000106;Autogestão;3;2025;6630414499.9;132608289.998
OMINT SERVIÇOS DE SAÚDE S.A.;SP;359661;44673382000190;Medicina de Grupo;2;2025;6433215727.9;98972549.66
FUNDAÇÃO SAÚDE ITAÚ;MG;312126;73809352000166;Autogestão;2;2025;6376878546.6;77766811.54390244
UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO;PA;303976;4201372000137;Cooperativa Médica;3;2025;6295888789.88;83945183.86506666
CARE PLUS MEDICINA ASSISTENCIAL LTDA.;SP;379956;2725347000127;Medicina de Grupo;2;2025;6259317418.08;208643913.936
GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA;RJ;309222;31925548000176;Medicina de Grupo;2;2025;5990340248.97;88093238.95544118
UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS;SP;319996;43643139000166;Cooperativa Médica;3;2025;5795792905.0199995;78321525.74351351
UNIMED GRANDE FLORIANÓPOLIS-COOPERATIVA DE TRABALHO MEDICO;SC;360449;77858611000108;Cooperativa Médica;3;2025;5742756958.97;38031503.039536424
UNIMED CUIABA COOPERATIVA DE TRABALHO MÉDICO;MT;342084;3533726000188;Cooperativa Médica;3;2025;5738212416.73;37504656.31849673
UNIMED SAO JOSÉ DO RIO PRETO - COOP. DE TRABALHO MÉDICO;SP;335100;45100138000109;Cooperativa Médica;3;2025;5722555553.83;60237426.882421054
FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA;DF;346926;628107000189;Autogestão;3;2025;5698133692.32;107511956.45886792
UNIMED PORTO ALEGRE - COOPERATIVA MÉDICA LTDA.;RS;352501;87096616000196;Cooperativa Médica;1;2025;5527240082.82;40344818.12277372
BRADESCO SAÚDE - OPERADORA DE PLANOS  S/A;SP;421715;15011651000154;Medicina de Grupo;3;2025;5477907353.71;195639548.34678572
UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO;ES;357391;27578434000120;Cooperativa Médica;2;2025;5413913577.52;45880623.53830509
UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS;PR;304701;75055772000120;Cooperativa Médica;1;2025;5156720424.84;40926352.57809524
UNIMED NATAL SOC. COOP. DE TRAB. MÉDICO;RN;335592;8380701000105;Cooperativa Médica;3;2025;4862213860.55;55887515.63850575
SUL AMÉRICA PARANÁ CLÍNICAS SERVIÇOS DE SAÚDE S.A.;SP;416428;2866602000151;Medicina de Grupo;3;2025;4820311213.43;64270816.17906667
CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO;SP;352331;62231527000184;Autogestão;3;2025;4760400280.93;74381254.38953125
ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS;RJ;422631;39427632000171;Autogestão;3;2025;4632971450.38;220617688.11333334
FUNDAÇÃO CESP;SP;315478;62465117000106;Autogestão;2;2025;4501336774.54;90026735.4908
UNIMED CAMPINAS - COOPERATIVA DE TRABALHO MÉDICO;SP;335690;46124624000111;Cooperativa Médica;1;2025;4433535177.17;33587387.70583333
UNIMED SOROCABA COOPERATIVA DE TRABALHO MÉDICO;SP;348295;45399961000159;Cooperativa Médica;3;2025;4426858783.34;77664189.18140352
NOTRE DAME INTERMÉDICA MINAS GERAIS SAÚDE S.A.;CE;348520;62550256000120;Medicina de Grupo;3;2025;4404878256.11;31689771.626690645
UNIMED RECIFE COOPERATIVA DE TRABALHO MÉDICO;PE;344885;11214624000128;Cooperativa Médica;2;2025;4393468472.14;74465567.32440679
UNIMED DE LONDRINA COOPERATIVA DE TRABALHO MÉDICO;PR;343269;75222224000147;Cooperativa Médica;3;2025;4389257368.77;44335933.01787879
UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO;PA;303976;4201372000137;Cooperativa Médica;2;2025;4335467935.74;58587404.537027024
UNIMED SERRA GAUCHA/RS COOPERATIVA DE ASSISTENCIA A SAUDE LTDA;RS;325571;87827689000100;Cooperativa Médica;3;2025;4283064617.14;40028641.281682245
UNIMED JOAO PESSOA - COOPERATIVA DE TRABALHO MÉDICO;PB;321044;8680639000177;Cooperativa Médica;3;2025;4200593041.2000003;77788760.02222222
UNIMED-SÃO GONÇALO - NITERÓI - SOC.COOP.SERV.MED E HOSP LTDA;RJ;343731;28630531000187;Cooperativa Médica;3;2025;4149665915.57;41915817.3289899
SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A;ES;335614;31466949000105;Medicina de Grupo;2;2025;4126138418.83;9048549.164100878
UNIMED MACEIO COOPERATIVA DE TRABALHO MÉDICO;AL;327689;12442737000143;Cooperativa Médica;3;2025;4125884681.54;38559669.92093458
HUMANA SAÚDE NORDESTE LTDA. ;PI;357511;361325000108;Medicina de Grupo;3;2025;4114106616.27;42413470.270824745
UNIMED GOIANIA COOPERATIVA DE TRABALHO MÉDICO;GO;382876;2476067000122;Cooperativa Médica;1;2025;4002723531.68;50034044.146
UNIMED CUIABA COOPERATIVA DE TRABALHO MÉDICO;MT;342084;3533726000188;Cooperativa Médica;2;2025;3954693663.14;25847671.000915032
FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA;DF;346926;628107000189;Autogestão;2;2025;3897215041.48;77944300.8296
UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS;SP;319996;43643139000166;Cooperativa Médica;2;2025;3863656127.2;56818472.458823524
UNIMED CAMPO GRANDE MS COOPERATIVA DE TRABALHO MÉDICO;MS;312851;3315918000118;Cooperativa Médica;3;2025;3827531871.31;42060789.79461538
UNIMED SAO JOSÉ DO RIO PRETO - COOP. DE TRABALHO MÉDICO;SP;335100;45100138000109;Cooperativa Médica;2;2025;3770841453.24;39693067.928842105
UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.;CE;317144;5868278000107;Cooperativa Médica;1;2025;3756375583.41;25042503.889399998
UNIMED GRANDE FLORIANÓPOLIS-COOPERATIVA DE TRABALHO MEDICO;SC;360449;77858611000108;Cooperativa Médica;2;2025;3753515215.62;25023434.7708
CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL;MS;413534;4311093000126;Autogestão;3;2025;3669712306.89;99181413.69972973
BRADESCO SAÚDE - OPERADORA DE PLANOS  S/A;SP;421715;15011651000154;Medicina de Grupo;2;2025;3667910149.1;135848524.04074073
UNIMED DE SANTOS COOP DE TRAB MEDICO;SP;355721;58229691000180;Cooperativa Médica;3;2025;3659235230.32;33265774.82109091
UNIMED DE RIBEIRAO PRETO - COOPERATIVA DE TRABALHO MÉDICO;SP;351202;45232246000127;Cooperativa Médica;3;2025;3556450906.64;48718505.57041096
UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;PR;371254;76767219000182;Cooperativa Médica;3;2025;3535318769.15;14548636.910082305
SANTA HELENA ASSISTÊNCIA MÉDICA S/A.;SP;355097;43293604000186;Medicina de Grupo;3;2025;3478189221.66;47002557.04945946
FUNDAÇÃO SAÚDE ITAÚ;MG;312126;73809352000166;Autogestão;1;2025;3449394094.0699997;42065781.635
GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA;RJ;309222;31925548000176;Medicina de Grupo;1;2025;3372539430.79;50336409.41477612
SUL AMÉRICA PARANÁ CLÍNICAS SERVIÇOS DE SAÚDE S.A.;SP;416428;2866602000151;Medicina de Grupo;2;2025;3345442950.21;45208688.51635135
OMINT SERVIÇOS DE SAÚDE S.A.;SP;359661;44673382000190;Medicina de Grupo;1;2025;3304302165.16;50835417.92553846
UNIMED NATAL SOC. COOP. DE TRAB. MÉDICO;RN;335592;8380701000105;Cooperativa Médica;2;2025;3294115788.29;37863399.865402296
SAMP ESPIRITO SANTO ASSISTENCIA MEDICA SA;ES;342033;2403281000159;Medicina de Grupo;3;2025;3242454212.9700003;33086267.479285717
CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA;CE;340782;76882612000117;Medicina de Grupo;3;2025;3221830807.32;29558080.801100917
CARE PLUS MEDICINA ASSISTENCIAL LTDA.;SP;379956;2725347000127;Medicina de Grupo;1;2025;3197914981.37;106597166.04566666
UNIMED BLUMENAU - COOPERATIVA DE TRABALHO MEDICO;SC;334561;82624776000147;Cooperativa Médica;3;2025;3187100363.11;26123773.468114756
ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS;RJ;422631;39427632000171;Autogestão;2;2025;3174888969.88;151185189.04190478
UNIMED UBERLÂNDIA COOPERATIVA REGIONAL TRABALHO MÉDICO LTDA;MG;384577;17790718000121;Cooperativa Médica;3;2025;3164710495.53;30429908.610865388
CENTRO TRASMONTANO DE SAO PAULO;SP;303623;62638374000194;Medicina de Grupo;3;2025;3159065045.98;85380136.37783784
ODONTOPREV S/A;SP;301949;58119199000151;Odontologia de Grupo;3;2025;3119470439.1899996;79986421.5176923
NOTRE DAME INTERMÉDICA MINAS GERAIS SAÚDE S.A.;CE;348520;62550256000120;Medicina de Grupo;2;2025;3107780669.66;22684530.43547445
UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS;PR;312720;78339439000130;Cooperativa Médica;3;2025;3061966401.13;11425247.765410447
CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO;SP;352331;62231527000184;Autogestão;2;2025;3056743855.38;47761622.7403125
FUNDAÇÃO SÃO FRANCISCO XAVIER;MG;339954;19878404000100;Filantropia;3;2025;3029513543.25;38348272.69936709
UNIMED DO ESTADO DE SANTA CATARINA FED. EST. DAS COOP. MÉD.;SC;355691;76590884000143;Cooperativa Médica;3;2025;2939666517.04;20557108.51076923
UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO;ES;357391;27578434000120;Cooperativa Médica;1;2025;2930819624.97;26643814.772454545
UNIMED DE LONDRINA COOPERATIVA DE TRABALHO MÉDICO;PR;343269;75222224000147;Cooperativa Médica;2;2025;2917268429.45;29467357.87323232
UNIMED SOROCABA COOPERATIVA DE TRABALHO MÉDICO;SP;348295;45399961000159;Cooperativa Médica;2;2025;2873331693.52;50409327.956491224
UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA;MG;319121;25250820000162;Cooperativa Médica;3;2025;2841723540.85;21206892.09589552
UNIMED MACEIO COOPERATIVA DE TRABALHO MÉDICO;AL;327689;12442737000143;Cooperativa Médica;2;2025;2806014180.54;26980905.582115386
UNIMED SERRA GAUCHA/RS COOPERATIVA DE ASSISTENCIA A SAUDE LTDA;RS;325571;87827689000100;Cooperativa Médica;2;2025;2780219200.48;25983357.013831776
HUMANA SAÚDE NORDESTE LTDA. ;PI;357511;361325000108;Medicina de Grupo;2;2025;2776209187.61;28328665.179693878
UNIMED JOAO PESSOA - COOPERATIVA DE TRABALHO MÉDICO;PB;321044;8680639000177;Cooperativa Médica;2;2025;2771242618.35;52287596.57264151
UNIMED SAO JOSE DOS CAMPOS - COOPERATIVA DE TRABALHO MEDICO;SP;331872;60214517000105;Cooperativa Médica;3;2025;2760158080.24;23391170.171525422
UNIMED-SÃO GONÇALO - NITERÓI - SOC.COOP.SERV.MED E HOSP LTDA;RJ;343731;28630531000187;Cooperativa Médica;2;2025;2718338467.14;29871851.287252747
ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO;SP;314218;60975174000100;Filantropia;3;2025;2680628125.23;45434375.00389831
UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS;SP;315729;44803922000102;Cooperativa Médica;3;2025;2657698323.21;17957421.10277027
POSTAL SAÚDE CAIXA DE ASSISTÊNCIA E SAÚDE DOS EMPREGADOS DOS CORREIOS;DF;419133;18275071000162;Autogestão;3;2025;2652832897.33;48233325.405999996
UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MÉDICO;SC;321273;82602327000106;Cooperativa Médica;3;2025;2619169931.55;31556264.23554217
UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA.;RS;306398;87300448000109;Cooperativa Médica;3;2025;2565819569.94;24436376.85657143
UNIMED CAMPO GRANDE MS COOPERATIVA DE TRABALHO MÉDICO;MS;312851;3315918000118;Cooperativa Médica;2;2025;2565706945.41;28507854.948999997
CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL;MS;413534;4311093000126;Autogestão;2;2025;2503586179.84;69544060.55111112
UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA;SC;303356;85377174000120;Cooperativa Médica;3;2025;2493083670.6;25439629.291836735
UNIMED DE BAURU COOPERATIVA DE TRABALHO MÉDICO;SP;369659;44456036000150;Cooperativa Médica;3;2025;2423124098.9700003;13313868.675659342
UNIMED DE SANTOS COOP DE TRAB MEDICO;SP;355721;58229691000180;Cooperativa Médica;2;2025;2416022264.09;23686492.78519608
UNIMED RECIFE COOPERATIVA DE TRABALHO MÉDICO;PE;344885;11214624000128;Cooperativa Médica;1;2025;2397464409.35;40634989.98898305
UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;306886;17689407000170;Cooperativa Médica;3;2025;2391776433.03;17458222.13890511
CEMIG SAÚDE;MG;417505;12055813000168;Autogestão;3;2025;2386180302.47;51873484.836304344
SANTA HELENA ASSISTÊNCIA MÉDICA S/A.;SP;355097;43293604000186;Medicina de Grupo;2;2025;2385989523.9900002;32243101.675540544
UNIMED BELÉM COOPERATIVA DE TRABALHO MÉDICO;PA;303976;4201372000137;Cooperativa Médica;1;2025;2366263521.63;31976534.076081082
UNIMED DE RIBEIRAO PRETO - COOPERATIVA DE TRABALHO MÉDICO;SP;351202;45232246000127;Cooperativa Médica;2;2025;2340675634.06;32064049.781643834
FUNDAÇÃO CESP;SP;315478;62465117000106;Autogestão;1;2025;2339623575.88;49779225.018723406
UNIMED DE CASCAVEL COOPERATIVA DE TRABALHO MÉDICO;PR;370070;81170003000175;Cooperativa Médica;3;2025;2339415762.08;21863698.711028036
UNIMED TERESINA - COOPERATIVA DE TRABALHO MÉDICO;PI;353353;7241136000132;Cooperativa Médica;3;2025;2338304838.9;30367595.310389612
UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;PR;371254;76767219000182;Cooperativa Médica;2;2025;2307748210.2;9496906.214814814
UNIMED SERGIPE - COOPERATIVA DE TRABALHO MÉDICO;SE;337668;13360276000122;Cooperativa Médica;3;2025;2291702255.27;22690121.339306932
SINDIFISCO NACIONAL - SINDICATO NACIONAL DOS AUDITORES-FISCAIS DA RECEITA FEDERAL DO BRASIL;DF;361011;3657699000155;Autogestão;3;2025;2286289231.46;45725784.629200004
CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA;CE;340782;76882612000117;Medicina de Grupo;2;2025;2261012001.12;21951572.826407764
FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA;DF;346926;628107000189;Autogestão;1;2025;2186732570.48;43734651.4096
UNIMED UBERLÂNDIA COOPERATIVA REGIONAL TRABALHO MÉDICO LTDA;MG;384577;17790718000121;Cooperativa Médica;2;2025;2184946270.66;21009098.75634615
UNIMED CUIABA COOPERATIVA DE TRABALHO MÉDICO;MT;342084;3533726000188;Cooperativa Médica;1;2025;2169187866.91;14461252.446066666
UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS;SP;319996;43643139000166;Cooperativa Médica;1;2025;2164018972.39;31823808.417499997
SAMP ESPIRITO SANTO ASSISTENCIA MEDICA SA;ES;342033;2403281000159;Medicina de Grupo;2;2025;2158178168.26;22481022.58604167
BRADESCO SAÚDE - OPERADORA DE PLANOS  S/A;SP;421715;15011651000154;Medicina de Grupo;1;2025;2144364238.25;89348509.92708333
PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE;RJ;331988;39419809000198;Autogestão;3;2025;2139976104.75;35081575.48770492
SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A;ES;335614;31466949000105;Medicina de Grupo;1;2025;2112091532.98;4631779.67758772
CENTRO TRASMONTANO DE SAO PAULO;SP;303623;62638374000194;Medicina de Grupo;2;2025;2095579779.74;56637291.34432433
UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO;PR;336858;81710543000102;Cooperativa Médica;1;2025;2094329386.23;32723896.65984375
UNIMED SÃO CARLOS - COOPERATIVA DE TRABALHO MÉDICO;SP;354031;45359213000142;Cooperativa Médica;3;2025;2086423943.83;26410429.668734178
UNIMED BLUMENAU - COOPERATIVA DE TRABALHO MEDICO;SC;334561;82624776000147;Cooperativa Médica;2;2025;2079626409.0700002;17330220.075583335
UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO;SP;315796;44863959000126;Cooperativa Médica;3;2025;2040090924.49;17895534.42535088
ODONTOPREV S/A;SP;301949;58119199000151;Odontologia de Grupo;2;2025;2035371546.1200001;52189014.003076926
FUNDAÇÃO SÃO FRANCISCO XAVIER;MG;339954;19878404000100;Filantropia;2;2025;2012674480.92;25476892.163544305
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL;CE;385697;5814777000103;Autogestão;3;2025;2008171414.47;32389861.523709677
UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE;RJ;302953;35830868000101;Cooperativa Médica;3;2025;1983959508.81;20244484.78377551
ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS;SP;419249;18321477000134;Medicina de Grupo;3;2025;1983936868.18;42211422.72723404
UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS;PR;312720;78339439000130;Cooperativa Médica;2;2025;1977397568.27;7378349.135335821
